DOI,Abstract,Journal,Journal URL,PubMed URL,Open access?,Press release
10.1098/rsif.2017.0901,"Fruits of Ruellia ciliatiflora (Acanthaceae) explosively launch small (2.5 mm diameter × 0.46 mm thick), disc-shaped seeds at velocities over 15 m s-1, reaching distances of up to 7 m. Through high-speed video analysis, we observe that seeds fly with extraordinary backspin of up to 1660 Hz. By modelling the seeds as spinning discs, we show that flying with backspin is stable against gyroscopic precession. This stable backspin orientation minimizes the frontal area during flight, decreasing drag force on the seeds and thus increasing dispersal distance. From high-speed video of the seeds' flight, we experimentally determine drag forces that are 40% less than those calculated for a sphere of the same volume and density. This reduces the energy costs for seed dispersal by up to a factor of five.",Journal of the Royal Society Interface,https://royalsocietypublishing.org/doi/full/10.1098/rsif.2017.0901,https://pubmed.ncbi.nlm.nih.gov/29514987/,,https://www.nytimes.com/2018/03/09/science/hairyflower-wild-petunia-seeds.html
10.1242/jeb.173047,"During the lifespan of the stick insect Carausius morosus, their long and narrow tibiae experience substantial compressive loads. The mechanical load on the tibiae increases as the weight of the insect rises. The increase in body weight is accompanied by a notable increase in the insect's body size and, accordingly, by an increase in the length of the tibiae. Both of these changes can raise the risk of buckling of the tibiae. In this study, we tracked changes in the material and geometric properties of the hindleg tibia of C. morosus during growth. The results show that although buckling (either by Euler buckling or local buckling) is the dominant failure mode under compression, the tibia is very capable of maintaining its buckling resistance in each postembryonic developmental stage. This is essentially the result of a compromise between the increasing slenderness of the tibia and its increasing material stiffness. The use of an optimal radius to thickness ratio, a soft resilin-dominated core, and chitin fibres oriented in both longitudinal and circumferential directions are presumably additional strategies preventing buckling of the tibia. This study, providing the first quantitative data on changes in the biomechanical properties of cuticle during the entire life of an insect, is expected to shed more light on the structure–property–function relationship in this complex biological composite.",Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/221/4/jeb173047?etoc,https://pubmed.ncbi.nlm.nih.gov/29361600/,,
10.1098/rsbl.2016.0948,"Flamingos (Phoenicopteridae) often stand and sleep on one leg for long periods, but it is unknown how much active muscle contractile force they use for the mechanical demands of standing on one leg: body weight support and maintaining balance. First, we demonstrated that flamingo cadavers could passively support body weight on one leg without any muscle activity while adopting a stable, unchanging, joint posture resembling that seen in live flamingos. By contrast, the cadaveric flamingo could not be stably held in a two-legged pose, suggesting a greater necessity for active muscle force to stabilize two-legged versus one-legged postures. Our results suggest that flamingos engage a passively engaged gravitational stay apparatus (proximally located) for weight support during one-legged standing. Second, we discovered that live flamingos standing on one leg have markedly reduced body sway during quiescent versus alert behaviours, with the point of force application directly under the distal joint, reducing the need for muscular joint torque. Taken together, our results highlight the possibility that flamingos stand for long durations on one leg without exacting high muscular forces and, thus, with little energetic expenditure.",Journal of the Royal Society Interface,https://royalsocietypublishing.org/doi/10.1098/rsbl.2016.0948?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,https://pubmed.ncbi.nlm.nih.gov/28539457/,,
10.1111/mec.15022,"Dermal phototaxis has been reported in a few aquatic vertebrate lineages spanning fish, amphibians and reptiles. These taxa respond to light on the skin of their elongate hind‐bodies and tails by withdrawing under cover to avoid detection by predators. Here, we investigated tail phototaxis in sea snakes (Hydrophiinae), the only reptiles reported to exhibit this sensory behaviour. We conducted behavioural tests in 17 wild‐caught sea snakes of eight species by illuminating the dorsal surface of the tail and midbody skin using cold white, violet, blue, green and red light. Our results confirmed phototactic tail withdrawal in the previously studied Aipysurus laevis, revealed this trait for the first time in A. duboisii and A. tenuis, and suggested that tail photoreceptors have peak spectral sensitivities between blue and green light (457–514 nm). Based on these results, and an absence of photoresponses in five Aipysurus and Hydrophis species, we tentatively infer that tail phototaxis evolved in the ancestor of a clade of six Aipysurus species (comprising 10% of all sea snakes). Quantifying tail damage, we found that the probability of sustaining tail injuries was not influenced by tail phototactic ability in snakes. Gene profiling showed that transcriptomes of both tail skin and body skin lacked visual opsins but contained melanopsin (opn4x) in addition to key genes of the retinal regeneration and phototransduction cascades. This work suggests that a nonvisual photoreceptor (e.g., Gq rhabdomeric) signalling pathway underlies tail phototaxis, and provides candidate gene targets for future studies of this unusual sensory innovation in reptiles.",Molecular Ecology,https://onlinelibrary.wiley.com/doi/abs/10.1111/mec.15022,https://pubmed.ncbi.nlm.nih.gov/30767303/,,https://www.sciencedaily.com/releases/2019/02/190215082348.htm
10.1073/pnas.1815394116,"Vital biological processes such as gene transcription and cell division may be severely impaired by inevitable entanglements ensuing from the extreme length and confinement of the genome. The family of topoisomerase proteins has independently evolved in different organisms to resolve these topological problems, yet no existing model can explain how topoisomerase alone can reduce the topological complexity of DNA in vivo. We propose that a synergistic mechanism between topoisomerase and a family of slip-link–like proteins called structural maintenance of chromosomes (SMC) can provide a pathway to systematically resolve topological entanglements even under physiological crowding and confinement. Given the ubiquity of topoisomerase and SMC, we argue that the uncovered mechanism is at work throughout the cell cycle and across different organisms.",PNAS,https://www.pnas.org/content/116/17/8149,https://pubmed.ncbi.nlm.nih.gov/30962387/,,https://www.sciencedaily.com/releases/2019/04/190422100945.htm
10.1126/sciadv.aau9183,"Self-powered actuation driven by ambient humidity is of practical interest for applications such as hygroscopic artificial muscles. We demonstrate that spider dragline silk exhibits a humidity-induced torsional deformation of more than 300°/mm. When the relative humidity reaches a threshold of about 70%, the dragline silk starts to generate a large twist deformation independent of spider species. The torsional actuation can be precisely controlled by regulating the relative humidity. The behavior of humidity-induced twist is related to the supercontraction behavior of spider dragline silk. Specifically, molecular simulations of MaSp1 and MaSp2 proteins in dragline silk reveal that the unique torsional property originates from the presence of proline in MaSp2. The large proline rings also contribute to steric exclusion and disruption of hydrogen bonding in the molecule. This property of dragline silk and its structural origin can inspire novel design of torsional actuators or artificial muscles and enable the development of designer biomaterials.",Science Advances,https://advances.sciencemag.org/content/5/3/eaau9183,https://pubmed.ncbi.nlm.nih.gov/30838327/,,https://www.sciencedaily.com/releases/2019/03/190301160907.htm
10.1016/j.cell.2019.03.029,"Long-range (>10 μm) transport of electrons along networks of Geobacter sulfurreducens protein filaments, known as microbial nanowires, has been invoked to explain a wide range of globally important redox phenomena. These nanowires were previously thought to be type IV pili composed of PilA protein. Here, we report a 3.7 Å resolution cryoelectron microscopy structure, which surprisingly reveals that, rather than PilA, G. sulfurreducens nanowires are assembled by micrometer-long polymerization of the hexaheme cytochrome OmcS, with hemes packed within ∼3.5–6 Å of each other. The inter-subunit interfaces show unique structural elements such as inter-subunit parallel-stacked hemes and axial coordination of heme by histidines from neighboring subunits. Wild-type OmcS filaments show 100-fold greater conductivity than other filaments from a ΔomcS strain, highlighting the importance of OmcS to conductivity in these nanowires. This structure explains the remarkable capacity of soil bacteria to transport electrons to remote electron acceptors for respiration and energy sharing.
",Cell,https://www.cell.com/cell/fulltext/S0092-8674(19)30291-0?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867419302910%3Fshowall%3Dtrue,https://pubmed.ncbi.nlm.nih.gov/30951668/,,https://www.sciencedaily.com/releases/2019/04/190404143747.htm
10.1016/j.asd.2018.12.004,"The pygidial gland system is a key innovation in adephagan beetles, producing, storing, and spraying defensive chemical compounds. As the source of defensive chemical production and storage, the pygidial gland system experiences severe chemical stress which challenges the integrity of the entire gland system. Here, we utilize autofluorescence-based confocal laser scanning microscopy to examine the morphology of pygidial gland secretory lobes and collecting ductules in a common Pennsylvanian harpaline species, Harpalus pensylvanicus. The glandular units are composed of type-III exocrine cells which empty into resilin-rich ductules, which themselves lead into a larger resilin-rich collecting duct, and ultimately the pygidial reservoir pump. We also utilize histological staining with toluidine blue and brightfield imaging to provide additional support for the presence of resilin in the collecting duct, as toluidine blue has been shown to stain resilin without metachromasia. We hypothesize that the high resilin content of the collecting ducts might be a widespread key evolutionary adaptation to prevent damage caused by physical and chemical stress generated in pump-containing insect exocrine gland systems.",Arthropod Structure & Development,https://www.sciencedirect.com/science/article/pii/S146780391830183X?via%3Dihub,https://pubmed.ncbi.nlm.nih.gov/30703537/,,
10.1371/journal.pbio.3000057,"Cells in developing organisms are subjected to particular mechanical forces that shape tissues and instruct cell fate decisions. How these forces are sensed and transmitted at the molecular level is therefore an important question, one that has mainly been investigated in cultured cells in vitro. Here, we elucidate how mechanical forces are transmitted in an intact organism. We studied Drosophila muscle attachment sites, which experience high mechanical forces during development and require integrin-mediated adhesion for stable attachment to tendons. Therefore, we quantified molecular forces across the essential integrin-binding protein Talin, which links integrin to the actin cytoskeleton. Generating flies expressing 3 Förster resonance energy transfer (FRET)-based Talin tension sensors reporting different force levels between 1 and 11 piconewton (pN) enabled us to quantify physiologically relevant molecular forces. By measuring primary Drosophila muscle cells, we demonstrate that Drosophila Talin experiences mechanical forces in cell culture that are similar to those previously reported for Talin in mammalian cell lines. However, in vivo force measurements at developing flight muscle attachment sites revealed that average forces across Talin are comparatively low and decrease even further while attachments mature and tissue-level tension remains high. Concomitantly, the Talin concentration at attachment sites increases 5-fold as quantified by fluorescence correlation spectroscopy (FCS), suggesting that only a small proportion of Talin molecules are mechanically engaged at any given time. Reducing Talin levels at late stages of muscle development results in muscle–tendon rupture in the adult fly, likely as a result of active muscle contractions. We therefore propose that a large pool of adhesion molecules is required to share high tissue forces. As a result, less than 15% of the molecules experience detectable forces at developing muscle attachment sites at the same time. Our findings define an important new concept of how cells can adapt to changes in tissue mechanics to prevent mechanical failure in vivo.",PLoS Biology,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3000057,https://pubmed.ncbi.nlm.nih.gov/30917109/,,https://www.sciencedaily.com/releases/2019/04/190404114524.htm
10.1111/jeb.13446,"Sperm morphology varies enormously across the animal kingdom. Whilst knowledge of the factors that drive the evolution of interspecific variation in sperm morphology is accumulating, we currently have little understanding of factors that may constrain evolutionary change in sperm traits. We investigated whether susceptibility to sperm abnormalities could represent such a constraint in songbirds, a group characterized by a distinctive helical sperm head shape. Specifically, using 36 songbird species and data from light and scanning electron microscopy, we examined among‐species correlations between the occurrence of sperm head abnormalities and sperm morphology, as well as the correlation between sperm head abnormalities and two indicators of sperm competition. We found that species with more helically shaped sperm heads (i.e., a wider helical membrane and more pronounced cell waveform) had a higher percentage of abnormal sperm heads than species with less helical sperm (i.e., relatively straight sperm) and that sperm head traits were better predictors of head abnormalities than total sperm length. In contrast, there was no correlation between sperm abnormalities and the level of sperm competition. Given that songbird species with more pronounced helical sperm have higher average sperm swimming speed, our results suggest an evolutionary trade‐off between sperm performance and the structural integrity of the sperm head. As such, susceptibility to morphological abnormalities may constrain the evolution of helical sperm morphology in songbirds.",Journal of Evolutionary Biology,https://onlinelibrary.wiley.com/doi/abs/10.1111/jeb.13446,https://pubmed.ncbi.nlm.nih.gov/30945783/,,https://www.sciencedaily.com/releases/2019/04/190404143755.htm
10.1038/s41467-019-09814-6,"Autotransporters are the largest family of outer membrane and secreted proteins in Gram-negative bacteria. Most autotransporters are localised to the bacterial surface where they promote colonisation of host epithelial surfaces. Here we present the crystal structure of UpaB, an autotransporter that is known to contribute to uropathogenic E. coli (UPEC) colonisation of the urinary tract. We provide evidence that UpaB can interact with glycosaminoglycans and host fibronectin. Unique modifications to its core β-helical structure create a groove on one side of the protein for interaction with glycosaminoglycans, while the opposite face can bind fibronectin. Our findings reveal far greater diversity in the autotransporter β-helix than previously thought, and suggest that this domain can interact with host macromolecules. The relevance of these interactions during infection remains unclear.",Nature communications,https://www.nature.com/articles/s41467-019-09814-6,https://pubmed.ncbi.nlm.nih.gov/31036849/,checked,https://www.sciencedaily.com/releases/2019/04/190429104725.htm
10.1093/jxb/erz018,"Water-saver and water-spender strategies are successful adaptations allowing plants to cope with the limitations of hot desert habitats. We investigated whether the efficacy of the cuticular transpiration barrier and its susceptibility to high temperatures are ecophysiological traits differentially developed in the water-spender Citrullus colocynthis and the water-saver Phoenix dactylifera. Minimum leaf conductance (gmin) at 25 °C was six times lower in P. dactylifera (1.1×10–5 m s–1) than in C. colocynthis (6.9×10–5 m s–1). Additionally, gmin in the range 25–50 °C did not change in P. dactylifera but increased by a factor of 3.2 in C. colocynthis. Arrhenius formalism applied to the C. colocynthis gmin led to a biphasic graph with a steep increase at temperatures ≥35 °C, whereas for P. dactylifera the graph was linear over all temperatures. Leaf cuticular wax coverage amounted to 4.2±0.4 µg cm–2 for C. colocynthis and 29.4±4.2 µg cm–2 for P. dactylifera. In both species, waxes were mainly composed of very-long-chain aliphatics. Midpoints of the wax melting ranges of P. dactylifera and C. colocynthis were 80 °C and 73 °C, respectively. We conclude that in P. dactylifera a particular wax and cutin chemistry prevents the rise of gmin at elevated temperatures.",Journal of Experimental Botany,https://academic.oup.com/jxb/article/70/5/1613/5304599,https://pubmed.ncbi.nlm.nih.gov/30715440/,,https://www.sciencedaily.com/releases/2019/04/190429104736.htm
10.1098/rsbl.2019.0015,"Transitive inference (TI) is a form of logical reasoning that involves using known relationships to infer unknown relationships (A > B; B > C; then A > C). TI has been found in a wide range of vertebrates but not in insects. Here, we test whether Polistes dominula and Polistes metricus paper wasps can solve a TI problem. Wasps were trained to discriminate between five elements in series (A0B−, B0C−, C0D−, D0E−), then tested on novel, untrained pairs (B versus D). Consistent with TI, wasps chose B more frequently than D. Wasps organized the trained stimuli into an implicit hierarchy and used TI to choose between untrained pairs. Species that form social hierarchies like Polistes may be predisposed to spontaneously organize information along a common underlying dimension. This work contributes to a growing body of evidence that the miniature nervous system of insects does not limit sophisticated behaviours.",Biology Letters,https://royalsocietypublishing.org/doi/10.1098/rsbl.2019.0015,https://pubmed.ncbi.nlm.nih.gov/31064309/,,https://www.sciencedaily.com/releases/2019/05/190508093708.htm
10.1140/epje/i2019-11812-1,"The length of type-I collagen fibrils in solution increases through the development and progress of pointed tips appearing successively at the two ends of an axis-symmetric shaft with constant diameter. Those tips, respectively fine (𝛼) or coarse (𝛽) have opposite molecular orientations. The 𝛼-pointed tips, the first to appear, are particularly remarkable as they all show, on most of their length, a common parabolic profile which stays constant during the growth. Assuming that the latter occurs by lateral accretion of individual molecules in staggered configuration, we propose to give account of this prominent morphological feature along a purely geometrical argument, the profile of a tip being linked to the shape of the trajectories followed all along the accretion process. Among several possible trajectories, Fermat spirals lead to a parabolic profile in perfect agreement with the one observed for 𝛼-pointed tips. This is to be put in relation with the presence of such spirals in phyllotactic patterns which ensure the best packing efficiency in cases of axis-symmetry, which is indeed that of dense collagen fibrils. Moreover, those patterns are structured by concentric circles of dislocations, constitutive of the structure itself, whose behaviour might contribute to the mechanical properties of the fibrils.",The European Physical Journal E Soft Matter and Biological Physics,https://link.springer.com/article/10.1140%2Fepje%2Fi2019-11812-1,https://pubmed.ncbi.nlm.nih.gov/31011856/,,https://www.sciencedaily.com/releases/2019/05/190513132119.htm
10.7554/eLife.47682,"Tardigrades, also known as water bears, are animals that can survive extreme conditions. The tardigrade Ramazzottius varieornatus contains a unique nuclear protein termed Dsup, for damage suppressor, which can increase the resistance of human cells to DNA damage under conditions, such as ionizing radiation or hydrogen peroxide treatment, that generate hydroxyl radicals. Here we find that R. varieornatus Dsup is a nucleosome-binding protein that protects chromatin from hydroxyl radicals. Moreover, a Dsup ortholog from the tardigrade Hypsibius exemplaris similarly binds to nucleosomes and protects DNA from hydroxyl radicals. Strikingly, a conserved region in Dsup proteins exhibits sequence similarity to the nucleosome-binding domain of vertebrate HMGN proteins and is functionally important for nucleosome binding and hydroxyl radical protection. These findings suggest that Dsup promotes the survival of tardigrades under diverse conditions by a direct mechanism that involves binding to nucleosomes and protecting chromosomal DNA from hydroxyl radicals.",eLife,https://elifesciences.org/articles/47682,https://pubmed.ncbi.nlm.nih.gov/31571581/,checked,https://www.sciencedaily.com/releases/2019/10/191001102207.htm
10.1371/journal.pbio.3000427,"Leaves display a remarkable range of forms, from flat sheets with simple outlines to cup-shaped traps. Although much progress has been made in understanding the mechanisms of planar leaf development, it is unclear whether similar or distinctive mechanisms underlie shape transformations during development of more complex curved forms. Here, we use 3D imaging and cellular and clonal analysis, combined with computational modelling, to analyse the development of cup-shaped traps of the carnivorous plant Utricularia gibba. We show that the transformation from a near-spherical form at early developmental stages to an oblate spheroid with a straightened ventral midline in the mature form can be accounted for by spatial variations in rates and orientations of growth. Different hypotheses regarding spatiotemporal control predict distinct patterns of cell shape and size, which were tested experimentally by quantifying cellular and clonal anisotropy. We propose that orientations of growth are specified by a proximodistal polarity field, similar to that hypothesised to account for Arabidopsis leaf development, except that in Utricularia, the field propagates through a highly curved tissue sheet. Independent evidence for the polarity field is provided by the orientation of glandular hairs on the inner surface of the trap. Taken together, our results show that morphogenesis of complex 3D leaf shapes can be accounted for by similar mechanisms to those for planar leaves, suggesting that simple modulations of a common growth framework underlie the shaping of a diverse range of morphologies.",PLoS Biology,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3000427,https://pubmed.ncbi.nlm.nih.gov/31600203/,,https://www.sciencedaily.com/releases/2019/10/191010142111.htm
10.1073/pnas.1714874114,"Superhydrophobic surfaces have been of key academic and commercial interest since the discovery of the so-called lotus effect in 1977. The effect of different ions on complex superhydrophobic biological systems, however, has received little attention. By bringing together ecology, biomechanics, physics, and chemistry our study provides insight into the ion-specific effects of wetting in the presence of sodium carbonate and its large-scale consequences. By comparing the surface structure and chemistry of the alkali fly—an important food source for migrating birds—to other species we show that their uniquely hydrophobic properties arise from very small physical and chemical changes, thereby connecting picoscale physics with globally important ecological impacts.",PNAS,https://www.pnas.org/content/114/51/13483,https://pubmed.ncbi.nlm.nih.gov/29158381/,,https://www.sciencemag.org/news/2017/11/fly-survives-deadly-lake-encasing-itself-bubble-here-s-how-it-makes-it
